団体コード,団体名,name,設置場所_名称_カナ,設置場所_住所,設置場所_電話番号,lat,lon,設置場所_詳細,情報源（ソース）,利用可能時間,利用可能日,開始時間,終了時間,日時備考,小児用パッドの有無,AED画像_画像,AED画像_ライセンス,AED画像_画像テキスト,列,施設名称,住所,種別
112186,深谷市,深谷市立八基小学校,ﾌｶﾔｼﾘﾂﾔﾂﾓﾄｼｮｳｶﾞｯｺｳ,深谷市下手計1300,048-587-2250,36.233862,139.2620139,１階廊下保健室前壁面の棚,,8:10～16:40,月～金曜日,8:10:00,16:40:00,,無し,,,,,,,
112186,深谷市,深谷市立豊里中学校,ﾌｶﾔｼﾘﾂﾄﾖｻﾄﾁｭｳｶﾞｯｺｳ,深谷市下手計525,048-587-2150,36.2307322,139.2766464,１階職員室入り口壁側,,8:10～16:40,月～金曜日,8:10:00,16:40:00,,無し,,,,,,,
112186,深谷市,渋沢栄一記念館・八基公民館,ｼﾌﾞｻﾜｴｲｲﾁｷﾈﾝｶﾝ・ﾔﾂﾓﾄｺｳﾐﾝｶﾝ,深谷市下手計1204,048-598-7757,36.2342287,139.2638804,１階事務室窓口側,,9:00～22:00,日～土曜日,9:00:00,22:00:00,年末年始は休館,有り,https://fukaya.geocloud.jp/webgis/Link/org/12-19/0/ATTACH/67db24d8-507f-4358-82a6-c86075481668.jpg,CC-BY,エントランス側から右側事務室方向に向かい撮った写真,,,,
112186,深谷市,緒方医院,,深谷市血洗島182-1,,36.2339258,139.2607639,,,,,,,,,,,,,,,
112186,深谷市,ＪＡふかや　八基支店,,深谷市血洗島187,,36.23357589,139.2606584,,,,,,,,,,,,,,,
112186,深谷市,特別養護老人ホーム　藤の木荘,,深谷市藤野木117,,36.2151655,139.323926,,,,,,,,,,,,,,,
112186,深谷市,深谷市立明戸小学校,ﾌｶﾔｼﾘﾂｱｹﾄｼｮｳｶﾞｯｺｳ,深谷市蓮沼413,048-571-0868,36.21908731,139.3206496,職員室南側窓際,,8:10～16:40,月～金曜日,8:10:00,16:40:00,,無し,,,,,,,
112186,深谷市,深谷市明戸公民館,ﾌｶﾔｼｱｹﾄｺｳﾐﾝｶﾝ,深谷市蓮沼256,048-571-0872,36.21617639,139.3175876,事務室,,9:00～22:00,日～土曜日,9:00:00,22:00:00,年末年始は休館,有り,https://fukaya.geocloud.jp/webgis/Link/org/12-19/0/ATTACH/bdbb5122-ff52-41c2-b245-569364e0302c.JPG,CC-BY,ＡＥＤ設置場所を明戸公民館１階事務室の窓口から撮った写真,,,,
112186,深谷市,ＪＡふかや　明戸支店,,深谷市蓮沼290-1,,36.21632361,139.318482,,,,,,,,,,,,,,,
112186,深谷市,深谷市立明戸中学校,ﾌｶﾔｼﾘﾂｱｹﾄﾁｭｳｶﾞｯｺｳ,深谷市新井18,048-571-0869,36.219487,139.311127,保健室前廊下,,8:10～16:40,月～金曜日,8:10:00,16:40:00,,無し,,,,,,,
112186,深谷市,深谷市老人福祉センター福寿荘,ﾌｶﾔｼﾛｳｼﾞﾝﾌｸｼｾﾝﾀｰﾌｸｼﾞｭｿｳ,深谷市沼尻482-1,048-573-2940,36.223092,139.305483,１階事務室,,8：30～17：00,日時備考以外の日,8:30:00,17:00:00,月・金・祝日の翌日・年末年始は休館,無し,https://fukaya.geocloud.jp/webgis/Link/org/12-19/0/ATTACH/f9fede00-4fdd-4f06-a10f-c9beaf30d80c.JPG,CC-BY,AED設置場所を１階事務室から撮った写真,,,,
112186,深谷市,老人保健施設　ＦＯＭＡなごみ,,深谷市新戒413-1,,36.22879111,139.2927231,,,,,,,,,,,,,,,
112186,深谷市,深谷市立豊里小学校,ﾌｶﾔｼﾘﾂﾄﾖｻﾄｼｮｳｶﾞｯｺｳ,深谷市新戒635,048-587-2002,36.23405161,139.2875318,１階　職員玄関　入り口近くの壁,,8:15～16:15,月～金曜日,8:15:00,16:15:00,,無し,,,,,,,
112186,深谷市,深谷市豊里公民館,ﾌｶﾔｼﾄﾖｻﾄｺｳﾐﾝｶﾝ,深谷市新戒639-1,048-587-2111,36.2339822,139.2862457,事務所出入り口横　,,9:00～22:00,日～土曜日,9:00:00,22:00:00,年末年始は休館,有り,https://fukaya.geocloud.jp/webgis/Link/org/12-19/0/ATTACH/89fd9674-f034-4e65-aaa3-c7bfd4a26c41.jpg,CC-BY,公民館に入るとすぐ右側に事務室があり、事務室の窓口に設置,,,,
112186,深谷市,ＪＡふかや　豊里支店,,深谷市新戒410-3,,36.22988,139.2933118,,,,,,,,,,,,,,,
112186,深谷市,深谷大里看護専門学校,,深谷市新戒749-1,,36.2276995,139.291726,,,,,,,,,,,,,,,
112186,深谷市,正田眼科,,深谷市稲荷町１丁目8-33,,36.19127831,139.2876665,,,,,,,,,,,,,,,
112186,深谷市,白倉医院,,深谷市稲荷町３丁目3-1,,36.19724669,139.2898605,,,,,,,,,,,,,,,
112186,深谷市,深谷市消防本部　深谷消防署,ﾌｶﾔｼｼｮｳﾎﾞｳﾎﾝﾌﾞ ﾌｶﾔｼｮｳﾎﾞｳｼｮ,深谷市上敷免858,048-571-0916,36.21203961,139.2848159,深谷消防署　受付,,0:00～24:00,常時使用可能,0:00:00,0:00:00,,有り,https://fukaya.geocloud.jp/webgis/Link/org/12-19/0/ATTACH/c705e229-b347-4903-af94-c4e828037b86.jpeg,CC-BY,ＡＥＤ設置場所を深谷消防署１階受付前の通路から撮った写真,,,,
112186,深谷市,深谷市浄化センター,ﾌｶﾔｼｼﾞｮｳｶｾﾝﾀｰ,深谷市上敷免2,048-577-7542,36.22129761,139.3009113,2階ホール南側大会議室壁面,,8:30-17:15※管理業者のみ常駐のため、使用時は必ず左欄記載電話番号（下水道工務課維持係）にご連絡ください。,,8:30:00,17:15:00,土・日・祝・年末年始を除く,有り,https://fukaya.geocloud.jp/webgis/Link/org/12-19/0/ATTACH/6eace7b2-0fd0-4d90-95a2-640b639319e8.JPG,CC-BY,浄化センター２階ホールからAEDが設置されている大会議室側壁面を撮った写真,,,,
112186,深谷市,ＪＡふかや　深谷農機センター,,深谷市上敷免990-1,,36.21350631,139.2898961,,,,,,,,,,,,,,,
112186,深谷市,深谷市立幡羅中学校,ﾌｶﾔｼﾘﾂﾊﾀﾗﾁｭｳｶﾞｯｺｳ,深谷市常盤町38,048-571-0229,36.19535269,139.3008457,職員室内　東入口,,8:10～16:40,月～金曜日,8:10:00,16:40:00,,無し,,,,,,,
112186,深谷市,ＪＡアグリホールかごはら,,深谷市幡羅町１丁目8-24,,36.17921311,139.3212082,,,,,,,,,,,,,,,
112186,深谷市,埼玉県立深谷第一高等学校,,深谷市常盤町21-1,,36.19547211,139.2971849,,,,,,,,,,,,,,,
