名称,住所,電話番号,休診日,診療科目,診療時間,公衆衛生事業,種別,経度,緯度,LINKS
"あさみ医院","埼玉県深谷市黒田340-1","048-584-5565","日曜・木曜・祝日","内科・外科・胃腸科","午前9:00~12:00 午後3:00~7:00 土曜の午後は2:00~5:00",,"病院","36.129","139.257",
"あだち医院","埼玉県深谷市上柴町東5-15-14","048-551-0222","日曜・木曜・祝日・土曜午後","消化器科・内科・外科・リハビリテーション科","午前9:00~12:00 午後3:00~6:00",,"病院","36.173","139.302",
"あねとす病院（救急告示）","埼玉県深谷市人見1975","048-571-5311","日曜・祝日","内科・外科・リハビリテーション科","午前9:00~12:00",,"病院","36.159","139.268",
"新井整形外科","埼玉県深谷市萱場316-1","048-575-0982","日曜・祝日・木曜午後・土曜午後","整形外科・リハビリテーション科","午前9:00~12:30 午後3:30~6:30",,"病院","36.188","139.271",
"今井医院","埼玉県深谷市寿町58","048-572-7728","日曜・祝日・木曜午後・土曜午後","内科・小児科","午前8:30~12:00 午後3:00~6:00",,"病院","36.187","139.291",
"岩崎医院","埼玉県深谷市東方3688-5","048-572-8181㈹","日曜・木曜・祝日・第1・3・5土曜午後","消化器科・外科・内科","午前9:00~12:00    午後3:00~6:00    ﾋﾟﾛﾘ菌外来 第2･4土曜午後2:00~5:00",,"病院","36.173","139.326",
"上野医院","埼玉県深谷市宿根706-1","048-573-7310","日曜・水曜・祝日・土曜午後","内科・小児科","午前9:00~午後1:00  午後3:00~6:00",,"病院","36.183","139.266",""
"上野台クリニック","埼玉県深谷市上野台193-1","048-575-0020","休診中","内科・小児科・神経内科",,,"病院","36.187","139.278",
"おおしまクリニック","埼玉県深谷市上柴町西6-19-10","048-575-0007","内科 日曜・土曜・祝日   透析 日曜","内科・血液透析","内科 午前9:00~13:00(受付8:30~11:30) 透析 午前8:30~午後5:00",,"病院","36.175","139.293",
"緒方医院","埼玉県深谷市血洗島182-1","048-587-2013","日曜・祝日・木曜午後・土曜午後","内科・外科・消化器内科","午前9:00~12:00 午後3:00~6:00 土曜は午前9:00~午後1:00",,"病院","36.231","139.264",
"折ノ口診療所","埼玉県深谷市折之口406-4","048-572-2560","火曜・水曜・木曜・金曜・土曜～月曜の午後","内科・皮膚科","土~月  午前8:00~12:00  予約制",,"病院","36.157","139.289",
"皆成病院（救急告示）","埼玉県深谷市西島町3-11-1","048-574-1111","日曜・祝日・土曜午後","総合診療科・内科・外科・整形外科・リハビリテーション科","午前9:00~12:00 午後3:00~6:00",,"病院","36.19","139.282",
"風間医院","埼玉県深谷市深谷町7-56","048-571-0054","月曜・木曜・祝日・土曜午後・日曜午後","内科","午前9:00~12:00 午後2:00~5:00",,"病院","36.193","139.281",
"金子医院","埼玉県深谷市岡2738","048-585-2828","日曜・祝日・木曜午後・土曜午後","内科・小児科・循環器科・胃腸科","午前9:00~12:00 午後3:00~6:00",,"病院","36.208","139.243",
"上柴クリニック","埼玉県深谷市上野台2321-2","048-574-7770","土曜・祝日・第5日曜・日曜午後・水曜午後","内科・外科・消化器科","午前9:00~12:00  午後3:00~7:00  日曜・水曜  午前9:00~12:00",,"病院","36.178","139.286",
"上柴メンタルクリニック","埼玉県深谷市上柴町西2-14-43","048-551-7000","日曜・木曜・祝日・土曜午後","心療内科・精神科","午前9:00~12:30 午後2:30 ~6:00　予約制",,"病院","36.182","139.302",
"神山医院","埼玉県深谷市田中635-1","048-583-2790","日曜・祝日・水曜午後・土曜午後","内科・消化器科・アレルギー科","午前8:30~12:15  月･木 午後3:00~7:00(受付6:45まで) 火･金 午後3:00~6:00(受付5:45まで)",,"病院","36.137","139.28",
"川本メディカルクリニック","埼玉県深谷市武川128","048-583-7777","日曜・木曜・祝日","内科・小児科・外科・循環器科・消化器科・整形外科（人間ドック・人工透析）","午前9:00~12:30 午後3:00~6:00 土曜の午後は5:00まで(受付4:30まで)",,"病院","36.143","139.287",
"菊地病院","埼玉県深谷市上野台371","048-571-0660㈹","日曜・祝日・金曜午後・土曜午後・（小児科 木曜午後）","産科・婦人科・小児科・内科・呼吸器科・アレルギー科・麻酔科","午前9:00~12:00（小児科受付11：30まで）  午後4:00~6:00  小児科は5:30まで  乳児検診は金曜午後1:00~3:00",,"病院","36.187","139.282",
"北深谷病院","埼玉県深谷市江原350","048-573-0801㈹","日曜・祝日","精神科・神経科・心療内科・内科・消化器科","午前9:00~12:00  初診は予約制",,"病院","36.221","139.33",
"くろや整形外科医院","埼玉県深谷市田中2643-8","048-583-5888","日曜・木曜・祝日・土曜午後","整形外科・リハビリテーション科","午前9:00~12:00 午後2:00~6:00",,"病院","36.151","139.284",
"神足眼科医院","埼玉県深谷市上柴町西3-19-13","048-574-6754","日曜・木曜・祝日","眼科","午前9:00~12:00 午後3:00~5:00",,"病院","36.18","139.304",
"小暮医院","埼玉県深谷市中瀬1216","048-587-1262","年間スケジュールによる","神経内科・内科・外科・小児科・脳神経外科・消化器科","午前9:00~12:00  午後2:00~5:30  月曜･土曜･日曜は午後3:45まで",,"病院","36.237","139.277",
"斉藤内科医院","埼玉県深谷市東大沼176","048-574-8050","日曜・祝日・土曜午後","内科・小児科・消化器科・アレルギー科","午前9:00~12:00 午後3:00~6:00",,"病院","36.199","139.281",
